_id,rank,title,id
ObjectId(65dc57ca11d80ac9c8582c4e),79,Requiem for a Dream,tt0180093
ObjectId(65dc57ca11d80ac9c8582c4f),66,The Prestige,tt0482571
ObjectId(65dc57ca11d80ac9c8582c50),80,Eternal Sunshine of the Spotless Mind,tt0338013
ObjectId(65dc57ca11d80ac9c8582c51),84,L.A. Confidential,tt0119488
ObjectId(65dc57ca11d80ac9c8582c52),85,Bicycle Thieves,tt0040522
ObjectId(65dc57ca11d80ac9c8582c53),86,Chinatown,tt0071315
ObjectId(65dc57ca11d80ac9c8582c54),87,Singin' in the Rain,tt0045152
ObjectId(65dc57ca11d80ac9c8582c55),88,Princess Mononoke,tt0119698
ObjectId(65dc57ca11d80ac9c8582c56),89,Monty Python and the Holy Grail,tt0071853
ObjectId(65dc57ca11d80ac9c8582c57),83,Braveheart,tt0112573
ObjectId(65dc57ca11d80ac9c8582c58),82,Oldboy,tt0364569
ObjectId(65dc57ca11d80ac9c8582c59),91,Rashomon,tt0042876
ObjectId(65dc57ca11d80ac9c8582c5a),92,Some Like It Hot,tt0053291
ObjectId(65dc57ca11d80ac9c8582c5b),90,Metropolis,tt0017136
ObjectId(65dc57ca11d80ac9c8582c5c),94,2001: A Space Odyssey,tt0062622
ObjectId(65dc57ca11d80ac9c8582c5d),95,All About Eve,tt0042192
ObjectId(65dc57ca11d80ac9c8582c5e),81,Full Metal Jacket,tt0093058
ObjectId(65dc57ca11d80ac9c8582c5f),93,Amadeus,tt0086879
ObjectId(65dc57ca11d80ac9c8582c60),97,The Sting,tt0070735
ObjectId(65dc57ca11d80ac9c8582c61),96,Witness for the Prosecution,tt0051201
ObjectId(65dc57ca11d80ac9c8582c62),100,Indiana Jones and the Last Crusade,tt0097576
ObjectId(65dc57ca11d80ac9c8582c63),98,The Apartment,tt0053604
ObjectId(65dc57ca11d80ac9c8582c64),99,Grave of the Fireflies,tt0095327
